aachener	aachen	
aal	eel	
aalartige	eels	
aale	eels	
aalen	aalenian	
aalenium	aalenian	
aalglatt	slippery	
aalhaut	eelskin	
aalmolche	amphiumas	
aalmuttern	eelpouts	
aalquappe	burbot	
aalquappen	burbots	
aalraupe	burbot	
aalraupen	burbots	
aalrutte	burbot	
aalrutten	burbots	
aaltierchen	eelworms	
aalwurm	nightcrawler	
aar	eagle	A
aare	aar	
aarestadt	solothurn	
aas	flesh	
aasblume	bobbins	
aasfleisch	carrion	
aasfliege	fleshfly	
aasfliegen	fleshflies	
aasfresser	scavenger	
aasgeier	vulture	
aasig	putrid	
aasjäger	pothunter	
aaskopf	bucranium	
aasköpfe	bucrania	
ab	delivered	A
abacatebirne	avocado	
abaculus	tessera	A
abaka	abaca	
abakafaser	manilla	
abakus	abacus	
abandon	abandonment	A
abandonist	abandoner	
abandonisten	abandoners	
abandonnierend	abandoning	
abandonniert	abandoned	
abarbeitend	processing	
abarbeitung	execution	
abart	variation	
abarten	variations	
abartig	perverse	
abartigkeit	kinkiness	
abazissus	colarin	
abbalgend	skinning	
abballernd	zapping	
abbasiden	abbasids	
abbau	breakdown	
abbaubar	degradable	
abbaubarkeit	degradability	
abbaublock	block	
abbaue	stopes	
abbauen	dismantlement	
abbauend	reducing	
abbauer	decomposer	
abbaufeld	field	
abbaufelder	fields	
abbaufirma	mine	
abbaufirmen	mines	
abbaufront	coalface	
abbaufähig	workable	
abbauhöhe	buttock	
abbauraum	stope	
abbauresistent	persistent	
abbauräume	stopes	
abbauscheibe	slice	
abbaustoffwechsel	catabolism	
abbaustoß	bench	
abbauunwürdig	unworkable	
abbauwürdig	workable	
abbauwürdigkeit	minability	
abbedingend	waiving	
abbedungen	waived	
abbeerend	stemming	
abbeizen	pickling	
abbeizend	stripping	
abbeizer	stripper	
abbeizfluid	stripper	
abbeizfluide	strippers	
abbeizmittel	stripper	
abbekommen	copped	
abbekommend	copping	
abberufbar	recallable	
abbestellend	canceling	
abbestellt	canceled	
abbestellung	cancellation	
abbiegen	turning	
abbiegend	deflective	
abbiegung	turning	
abbiegungen	turnings	
abbild	image	
abbildend	delineative	
abbilder	effigies	
abbildung	mapping	
abbildungen	pictures	
abbildungsfehler	aberration	
abbildungslegende	caption	
abbildungslegenden	captions	
abbildungsmaßstab	magnification	
abbindebehandlung	curing	
abbinden	setting	
abbindend	setting	
abbindung	strangulation	
abbindungsfaden	ligature	
abbitte	apology	
abblasend	canceling	
