a	at	A
aarão	aaron	
abacaxi	pineapple	
abacial	abbatial	
abade	abbot	
abadessa	abbess	
abadia	abbacy	
abafar	choke	
abaixar	decrease	
abaixo	below	
abalar	move	
abalo	affection	
abanar	aerate	
abandonar	abandon	
abandono	abandonment	
abano	fan	
abarcar	corner	
abastecer	provide	
abastecimento	supply	
abater	butcher	A
abatimento	abatement	
abc	alphabet	A
abcissa	abscissa	
abdicar	cede	
abdicação	abdication	
abdome	abdomen	
abdutor	abductor	
abelha	bee	
abelharuco	titmouse	
abelheiro	titmouse	
abençoar	bless	
abertamente	frankly	
aberto	open	
abertura	aperture	
abeto	fir	
abexim	abyssinian	
abiogenesia	abiogenesis	
abiogenêse	abiogenesis	
abismo	abyss	
abissínia	abyssinia	
abita	bit	
ablativo	ablative	
abnegar	abnegate	
abnegação	abnegation	
abolir	abolish	
abolição	abolition	
abominar	abhor	
abominação	abhorrence	
abominável	abhorrent	
abordar	assault	
aborrecedor	boring	
aborrecer	bore	
aborrecido	boring	
aborígena	aboriginal	
aborígene	aboriginal	
abotoar	button	
abrandar	moderate	
abranger	comprise	
abraão	abraham	
abraçar	embrace	
abraço	bracelet	
abreviação	abbreviation	
abricoque	apricot	
abricote	apricot	
abricó	apricot	
abrigar	shelter	
abrigo	bunker	
abril	april	
abrir	open	
abrochar	clasp	
abscesso	abscess	
absolutamente	absolutely	
absolutismo	absolutism	
absorvente	absorbent	
absorver	absorb	
abstemia	teetotalism	
abstinência	abstention	
abstracto	abstract	
abstracção	abstraction	
abstrair	abstract	
absurdeza	absurdity	
absurdidade	absurdity	
absurdo	absurd	
absíntio	absinth	
abundar	abound	
abundância	abundance	
abutre	vulture	
abóbada	arch	
abóbora	calabash	
acabar	accomodate	
acabrunhado	sad	
acabrunhar	afflict	
academia	academy	A
acadêmico	academic	
acaia	achaea	
acalento	lullaby	
acalorado	warm	
acampar	camp	
acanhado	close	
acanto	acanthus	
acariciar	coddle	
acaso	maybe	
aceitar	accept	
aceitação	acceptance	
acelerador	accelerator	
acelerar	accelerate	
acelerção	acceleration	
acender	kindle	
aceno	gesture	
acento	accent	
acentuar	accent	
acepipe	delicacy	
acerar	sharpen	
acerbo	acerbic	
acertado	striking	
acertar	guess	
acervo	accumulation	
acesso	promotion	
acessível	accessible	
acessório	accessory	
acetato	acetate	
acetilene	acetylene	
acetileno	acetylene	
acetilênio	acetylene	
acetona	acetone	
achar	ascertain	
aciano	cornflower	
acidentado	bumpy	
acidental	accidental	
acidente	accident	
acidez	acidity	
acididade	acidity	
acima	above	
acionar	litigate	
acionista	shareholder	
acirrar	agitate	
aclamar	acclaim	
aclamação	acclamation	
aclimar	acclimatize	
aclimatar	acclimatize	
acne	pimple	A
acnéia	acne	
acobertar	conceal	
acolchetar	clasp	
acolher	accept	
acolhida	acceptance	
acolhimento	acceptance	
acometer	assault	
