abaissement	abasement	
abaisser	demolish	
abandon	abandonment	A
abandonner	cede	
abandonné	abandoned	
abaque	abacus	
abasourdir	puzzle	
abasourdissement	alarm	
abats	offal	
abattage	overthrow	
abattant	valve	
abattement	apathy	
abattis	debris	
abattre	butcher	
abbaye	abbey	
abbesse	abbess	
abbé	abbot	
abcès	abscess	
abdiquer	abdication	
abducteur	abductor	
abeille	bee	
aberration	craziness	A
abhorrer	abhor	
abiogenèse	abiogenesis	
abject	abhorrent	A
abjurer	abnegate	
abkhasie	abkhazia	
abkhasien	abkhazian	
ablatif	ablative	
ablation	removal	A
abnégation	abnegation	
abois	agony	
abolir	abolish	
abolitionniste	abolitionist	
abominable	abhorrent	A
abomination	abhorrence	A
abominer	abhor	
abondamment	abundantly	
abondance	abundance	
abondant	abundant	
abonder	abound	
abonnement	subscription	
abonné	subscriber	
abord	access	
abordable	accessible	
aborder	accost	
abords	environment	
aborigène	aboriginal	
abortif	abortive	
aboucher	connect	
abouler	give	
abouter	succeed	
aboutir	accomplish	
aboutissement	consequence	
aboyer	bark	
abracadabrant	foolish	
abrasif	abrasive	
abreuver	irrigate	
abreuvoir	bar	
abri	asylum	
abricot	apricot	
abriter	accommodate	
abrogation	abolition	A
abroger	abjure	
abruptement	abruptly	
abrégement	abbreviation	
abréger	abate	
abrégé	abridgement	
abrévation	abbreviation	
abscisse	abscissa	
absinthe	absinth	A
absolu	absolute	
absolument	absolutely	
absolutisme	absolutism	
absorbant	absorbent	
absorber	absorb	A
abstraire	abstract	
abstrait	abstract	
absurde	absurd	
absurdité	absurdity	
abus	abuse	
abuser	abuse	A
abusif	erroneous	
abyssin	abyssinian	
abyssinie	abyssinia	
abêtir	dull	
abîme	abyss	
abîmer	ruin	
abîmé	spoilt	
acabit	kind	
académicien	academician	
académie	academy	
académique	academic	
acajou	mahogany	A
acanthe	acanthus	
acarien	mite	
accaparer	corner	
accentuer	accent	
accepter	accept	
accepteur	acceptor	
accepté	accepted	
accessible	obtainable	A
accessoire	accessory	
accidentel	accidental	
accidenté	bumpy	
acclamation	acclaim	A
acclamer	acclaim	
acclimatation	acclimatization	
acclimatement	acclimatization	
accommodant	accommodating	
accommodement	accommodation	
accommoder	arrange	
accomodation	accommodation	A
accompagnateur	accompanist	
accompagnatrice	chaperon	
accompagnement	accompaniment	
accompagner	accompany	
accompli	fine	A
accomplir	accomplish	
accomplissement	accomplishment	
accordailles	betrothal	
accorder	tune	
accordée	bride	
accordéon	accordion	
accordéoniste	accordionist	
accotement	shoulder	
accoter	lean	
accotoir	arm	
accoucher	labour	
accoucheur	obstetrician	A
accoucheuse	midwife	
accoudoir	arm	
accouplement	joining	
accoupler	join	
accoutumer	accustom	
accoutumé	accustomed	
accrocher	hook	
accroissement	accretion	
accroître	aggrandize	
accréditation	accreditation	
accréditer	accredit	
accu	accumulator	
accueil	acceptance	
accueillir	accept	
accumulateur	accumulator	
accumuler	accumulate	
accusateur	accuser	
accusatif	accusative	
accusation	accusal	A
accuser	accuse	A
accusé	accused	
accès	aggression	
accéleration	acceleration	
accélerer	accelerate	
accélérateur	accelerator	
accélération	acceleration	
accélérer	accelerate	
acerbe	acerbic	
achat	acquisition	
acheteur	buyer	
achever	finish	
achevé	perfect	
achille	achilles	
achillée	yarrow	
achopper	stumble	
achéron	acheron	
acide	acetous	
acidifier	acidify	A
acidité	acidity	
acier	steel	
acné	acne	
acompte	instalment	
aconit	aconite	
acoustique	acoustics	
acquisition	acquirement	A
acquit	acknowledgement	A
acquittement	acquittal	
acquéreur	buyer	
acquérir	achieve	
acrobate	acrobat	
acrobaties	acrobatics	
acrobatique	acrobatic	
acrostiche	achrostic	
acte	act	
acteur	actor	
actif	active	
action	achievement	A
actionnaire	shareholder	
actionner	actuate	
activer	activate	
activité	action	
actrice	actress	
actualité	topic	
actualités	news	
actuel	current	
actuellement	currently	
acuité	acerbity	
acuponcture	acupuncture	
acéré	nasty	
acétate	acetate	
acétone	acetone	
acétylène	acetylene	
adapter	orchestrate	A
adapteur	adaptor	
adapté	adapted	
additionnel	additional	
additionner	add	
adhérent	acolyte	
adhérents	adherents	
adhérer	join	
adhésif	adhesive	
adhésion	adhesion	
adjacent	adjoining	A
adjarie	adzharia	
adjectif	adjectival	
adjoindre	add	
adjoint	assistant	A
adjudant	adjutant	
adjudication	tender	A
