a	and	A
aalen	aalenian	A
aar	ahr	A
aare	aar	
aaronita	aaronite	
abacysta	abacist	
abaja	abaya	
abaka	abaca	
abakawir	abc	
abakański	abakan	
abakus	abacus	
abalienacja	abalienatio	
abandon	abandonment	A
abarognozja	abarognosis	
abasiofilia	abasiophilia	
abaz	abbasi	
abazja	abasia	
abazyński	abaza	
abażur	lampshade	
abbrewiator	abbreviator	
abchaski	abkhazian	
abchaz	abkhaz	
abchazja	abkhazia	
abcyksymab	abciximab	
abderyta	abderite	
abdest	wudu	
abdiasz	obadiah	
abdukcja	abduction	
abdukcyjny	abductional	
abduktor	abductor	
abdykacja	abdication	
abdykować	abdicate	
abdżad	abjad	
abecadlarz	index	
abecedariusz	index	
abelizaur	abelisaurus	
abelsonit	abelsonite	
abernathyit	abernathyite	
aberracja	aberration	
abidżan	abidjan	
abietyna	abietin	
abietynowy	abietic	
abiotyczny	abiotic	
abisynia	abyssinia	
abisynka	abyssinian	
abisyńczyk	abyssinian	
abisyński	abyssinian	
abiturient	graduate	
ablacja	ablation	
ablatyw	ablative	
ablatywny	ablative	
ablucja	ablution	
abnegacja	abnegation	
abolicja	abolition	
abolicjonizm	abolitionism	
abominacja	abomination	
abonament	fee	
abonent	subscriber	
abonować	subscribe	
aboralny	aboral	
aborcja	abortion	
abordaż	boarding	
aborygen	aborigine	
aborygeński	aboriginal	
abradować	corrade	
abrahamiczny	abrahamitic	
abrahamizm	abrahamism	
abrahamowy	abrahamitic	
abrakadabra	abracadabra	
abrewiacja	abbreviation	
abrewiatura	abbreviation	
abrewiologia	abbreviology	
abriktozaur	abrictosaurus	
abroseksualizm	abrosexuality	
abruzja	abruzzo	
abruzyjczyk	abruzzian	
absces	abscess	
absencja	absence	
absolucja	absolution	
absolut	absolute	
absolutnie	absolutely	
absolutny	absolute	
absolutorium	exoneration	
absolutysta	absolutist	
absolutyzm	absolutism	
absolwent	graduate	
absolwentka	graduate	
absolwować	absolve	
absorbancja	absorbance	
absorbat	absorbate	
absorbowanie	absorption	
absorbować	absorb	
absorpcja	absorption	
abstrahować	abstract	
abstrakcja	abstraction	
abstrakcjonistyczny	abstractionist	
abstrakcjonizm	abstractionism	
abstrakcyjny	abstract	
abstrakt	abstract	
abstynencja	abstinence	
abstynencyjny	abstinence	
abstynent	abstainer	
absurd	absurdity	A
absurdalista	absurdist	
absurdalizacja	absurdification	
absurdalnie	absurdly	
absurdalność	absurdity	
absurdalny	absurd	
absurdyzm	absurdism	
absynt	absinthe	
absyntowy	absinthian	
absztyfikant	wooer	
abudża	abuja	
abuliczny	abulic	
abundancja	abundance	
abuzywny	abusive	
abwehra	abwehr	
acefalia	acephaly	
acenaften	acenaphthene	
acenokumarol	acenocoumarol	
acetaldehyd	acetaldehyde	
acetalowy	acetalic	
acetamid	acetamide	
acetanilid	acetanil	
acetofenon	acetophenone	
aceton	acetone	
acetylen	acetylene	
acetylocholina	acetylcholine	
acetylocholinoesteraza	acetylcholinesterase	
acetylowanie	acetylation	
ach	ah	
achaj	achaean	
achaja	achaea	
achajski	achaean	
achalazja	achalasia	
achalciche	akhaltsikhe	
acheiropita	acheiropoieta	
achitofel	ahitophel	
achondroplazja	achondroplasia	
achondryt	achondrite	
achromatopsja	achromatopsia	
achtersztag	backstay	
achtuba	akhtuba	
acydofil	acidophile	
acykliczny	acyclic	
acyklowir	aciclovir	
acz	er	
aczkolwiek	although	
aczytalny	unreadable	
adadżio	adage	
adaks	addax	
adamantan	adamantane	
adamaszek	damask	
adamsyt	adamsite	
adaptacja	adaptation	
adaptacyjność	adaptability	
adaptacyjny	adaptive	
adaptometr	adaptometer	
adaptować	adapt	
addukt	adduct	
adduktor	adductor	
addycja	addition	
addycyjny	additive	
addytywny	additive	
adekwatność	adequacy	
adekwatny	adequate	
adelajda	adelaide	
adenina	adenine	
adenoid	adenoids	A
adenoidalny	adenoidal	
adenotomia	adenoidectomy	
adenozyna	adenosine	
adenozynotrójfosforan	adenosinetriphosphate	
adept	student	A
adhezja	adhesion	
adhokracja	adhocracy	
adiabatyczny	adiabatic	
adiafora	adiaphoron	
adidas	sneaker	
adipocyt	adipocyte	
administracja	administration	
administracyjny	administrative	
administrować	administer	
admiracja	admiration	
admiralicja	admiralty	
admirał	admiral	
admirować	admire	
admitancja	admittance	
adnotacja	annotation	
adopcja	adoption	
adopcjanizm	adoptionism	
adopcyjny	adoptive	
adoptować	adopt	
adoracyjny	adoration	
